job_name,order_id,folder,status,held,deleted,cyclic,startTime,endTime,orderDate,description,application,estimatedStartTime,estimatedEndTime
EBIETLBCORE_FED_LRF_INC,58ub5,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-31 01:56:19,2022-07-31 01:58:26,220731,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,59ldz,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-01 02:00:10,2022-08-01 02:04:41,220801,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,583of,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-30 01:57:17,2022-07-30 01:59:24,220730,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,5bxhf,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-04 03:24:50,2022-08-04 03:26:57,220804,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,56hnz,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-28 02:14:53,2022-07-28 02:20:04,220728,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,5adpk,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-02 02:06:06,2022-08-02 02:09:16,220802,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,57bzk,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-29 02:18:48,2022-07-29 02:25:36,220729,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_FED_LRF_INC,5b6ew,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-03 02:14:50,2022-08-03 02:19:02,220803,TO LOAD DATA FROM COLLECTION SERVER TO LRF FILE TO INC TABLES,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,58ucq,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-31 09:00:02,2022-07-31 09:08:23,220731,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,59lfk,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-01 09:00:03,2022-08-01 09:08:26,220801,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,583q0,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-30 09:00:03,2022-07-30 09:10:36,220730,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,5bxj0,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-04 09:00:02,2022-08-04 09:10:27,220804,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,56hpk,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-28 09:00:47,2022-07-28 09:11:26,220728,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,5adr5,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-02 09:00:02,2022-08-02 09:08:24,220802,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,57c15,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-07-29 09:00:02,2022-07-29 09:11:40,220729,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBCORE_ITM_DOMINO_SRC_LRF_SET1,5b6gh,EBIETLBCORE,Ended OK,                   0,                   0,                   0,2022-08-03 09:00:03,2022-08-03 09:09:35,220803,Extract data from SRC(Domino) to item's LRF,EBIETLBCORE,,
EBIETLBSLS_AFFINITY_SP1_PRD,58xyz,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-07-31 02:03:53,2022-07-31 02:04:57,220731,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,59ozt,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-08-01 02:11:41,2022-08-01 02:12:46,220801,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,587ap,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-07-30 02:55:55,2022-07-30 02:57:00,220730,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,5c0a5,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-08-04 03:17:30,2022-08-04 03:18:35,220804,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,56ldv,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-07-28 02:09:26,2022-07-28 02:10:31,220728,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,5agk7,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-08-02 02:08:09,2022-08-02 02:09:14,220802,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,57g2u,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-07-29 02:09:10,2022-07-29 02:10:15,220729,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP1_PRD,5b99u,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-08-03 02:09:11,2022-08-03 02:10:16,220803,HOUSEHOLD ROLLUP,EBIETLBSLS,,
EBIETLBSLS_AFFINITY_SP2_PRD,58xz0,EBIETLBSLS,Ended OK,                   0,                   0,                   0,2022-07-31 04:09:24,2022-07-31 04:10:28,220731,HOUSEHOLD ROLLUP,EBIETLBSLS,,
